0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:17:17 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1427
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:19:29 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:19:42 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1603
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:20:45 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:21:05 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1608
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:21:22 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:22:37 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:23:09 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:25:26 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:25:29 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1602
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:25:59 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:26:01 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:27:04 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:28:03 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:28:30 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1768
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:31:20 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:43:03 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:43:43 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:46:20 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:46:43 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1772
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:50:07 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:51:44 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:52:02 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1769
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:53:03 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:53:06 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 200 1774
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:54:12 +0530] "GET /BootstrapMain/MyWebPage.html HTTP/1.1" 200 2589
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:54:45 +0530] "GET /BootstrapMain/login.html HTTP/1.1" 200 798
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:54:45 +0530] "GET /BootstrapMain/mystyle1.css HTTP/1.1" 404 1104
0:0:0:0:0:0:0:1 - - [20/Jan/2020:11:54:53 +0530] "GET /BootstrapMain/register.html HTTP/1.1" 304 -
